source_file,time_delta,timestamp_seconds,lat,lng,group,use,CounterClockwiseSequence,CounterClockwiseSegment
collins_dr_62_A_from_rosbag_run1.csv,1174.8,1698862915.58177,40.4851638,-80.3324552,Path 1 – South segment 1,Path 1,1,1
collins_dr_62_A_from_rosbag_run1.csv,1175,1698862915.78154,40.485164,-80.3324538,Path 1 – South segment 1,Path 1,2,1
collins_dr_62_A_from_rosbag_run1.csv,1175.2,1698862915.9817,40.4851644,-80.3324527,Path 1 – South segment 1,Path 1,3,1
collins_dr_62_A_from_rosbag_run1.csv,1175.4,1698862916.1816,40.4851649,-80.3324517,Path 1 – South segment 1,Path 1,4,1
collins_dr_62_A_from_rosbag_run1.csv,1175.6,1698862916.38187,40.4851653,-80.3324506,Path 1 – South segment 1,Path 1,5,1
collins_dr_62_A_from_rosbag_run1.csv,1175.8,1698862916.58093,40.4851658,-80.3324494,Path 1 – South segment 1,Path 1,6,1
collins_dr_62_A_from_rosbag_run1.csv,1176,1698862916.78173,40.4851662,-80.3324482,Path 1 – South segment 1,Path 1,7,1
collins_dr_62_A_from_rosbag_run1.csv,1176.2,1698862916.98268,40.4851665,-80.332447,Path 1 – South segment 1,Path 1,8,1
collins_dr_62_A_from_rosbag_run1.csv,1176.4,1698862917.18232,40.4851668,-80.3324459,Path 1 – South segment 1,Path 1,9,1
collins_dr_62_A_from_rosbag_run1.csv,1176.6,1698862917.38175,40.4851673,-80.3324448,Path 1 – South segment 1,Path 1,10,1
collins_dr_62_A_from_rosbag_run1.csv,1176.8,1698862917.58237,40.4851679,-80.3324435,Path 1 – South segment 1,Path 1,11,1
collins_dr_62_A_from_rosbag_run1.csv,1177,1698862917.78113,40.4851683,-80.3324424,Path 1 – South segment 1,Path 1,12,1
collins_dr_62_A_from_rosbag_run1.csv,1177.2,1698862917.98209,40.4851687,-80.3324413,Path 1 – South segment 1,Path 1,13,1
collins_dr_62_A_from_rosbag_run1.csv,1177.4,1698862918.18259,40.4851691,-80.3324402,Path 1 – South segment 1,Path 1,14,1
collins_dr_62_A_from_rosbag_run1.csv,1177.6,1698862918.3814,40.4851694,-80.3324391,Path 1 – South segment 1,Path 1,15,1
collins_dr_62_A_from_rosbag_run1.csv,1177.8,1698862918.58163,40.4851698,-80.332438,Path 1 – South segment 1,Path 1,16,1
collins_dr_62_A_from_rosbag_run1.csv,1178,1698862918.78211,40.4851702,-80.3324369,Path 1 – South segment 1,Path 1,17,1
collins_dr_62_A_from_rosbag_run1.csv,1178.2,1698862918.98285,40.4851707,-80.332436,Path 1 – South segment 1,Path 1,18,1
collins_dr_62_A_from_rosbag_run1.csv,1178.4,1698862919.18179,40.485171,-80.3324348,Path 1 – South segment 1,Path 1,19,1
collins_dr_62_A_from_rosbag_run1.csv,1178.6,1698862919.38156,40.4851712,-80.3324336,Path 1 – South segment 1,Path 1,20,1
collins_dr_62_A_from_rosbag_run1.csv,1178.8,1698862919.58305,40.4851715,-80.3324325,Path 1 – South segment 1,Path 1,21,1
collins_dr_62_A_from_rosbag_run1.csv,1179,1698862919.78157,40.4851717,-80.3324314,Path 1 – South segment 1,Path 1,22,1
collins_dr_62_A_from_rosbag_run1.csv,1179.2,1698862919.9817,40.485172,-80.3324303,Path 1 – South segment 1,Path 1,23,1
collins_dr_62_A_from_rosbag_run1.csv,1179.4,1698862920.18428,40.4851722,-80.3324292,Path 1 – South segment 1,Path 1,24,1
collins_dr_62_A_from_rosbag_run1.csv,1179.6,1698862920.38134,40.4851725,-80.3324279,Path 1 – South segment 1,Path 1,25,1
collins_dr_62_A_from_rosbag_run1.csv,1179.8,1698862920.58156,40.4851725,-80.3324268,Path 1 – South segment 1,Path 1,26,1
collins_dr_62_A_from_rosbag_run1.csv,1180,1698862920.78067,40.4851728,-80.3324256,Path 1 – South segment 1,Path 1,27,1
collins_dr_62_A_from_rosbag_run1.csv,1180.2,1698862920.98183,40.4851729,-80.3324245,Path 1 – South segment 1,Path 1,28,1
collins_dr_62_A_from_rosbag_run1.csv,1180.4,1698862921.18142,40.4851733,-80.3324233,Path 1 – South segment 1,Path 1,29,1
collins_dr_62_A_from_rosbag_run1.csv,1180.6,1698862921.38306,40.4851737,-80.3324223,Path 1 – South segment 1,Path 1,30,1
collins_dr_62_A_from_rosbag_run1.csv,1180.8,1698862921.58234,40.4851741,-80.3324212,Path 1 – South segment 1,Path 1,31,1
collins_dr_62_A_from_rosbag_run1.csv,1181,1698862921.78276,40.4851744,-80.33242,Path 1 – South segment 1,Path 1,32,1
collins_dr_62_A_from_rosbag_run1.csv,1181.2,1698862921.98136,40.4851748,-80.3324189,Path 1 – South segment 1,Path 1,33,1
collins_dr_62_A_from_rosbag_run1.csv,1181.4,1698862922.18137,40.4851752,-80.3324179,Path 1 – South segment 1,Path 1,34,1
collins_dr_62_A_from_rosbag_run1.csv,1181.6,1698862922.38079,40.4851756,-80.3324168,Path 1 – South segment 1,Path 1,35,1
collins_dr_62_A_from_rosbag_run1.csv,1181.8,1698862922.58156,40.485176,-80.3324156,Path 1 – South segment 1,Path 1,36,1
collins_dr_62_A_from_rosbag_run1.csv,1182,1698862922.78297,40.4851764,-80.3324145,Path 1 – South segment 1,Path 1,37,1
collins_dr_62_A_from_rosbag_run1.csv,1182.2,1698862922.9839,40.4851768,-80.3324133,Path 1 – South segment 1,Path 1,38,1
