time_delta,timestamp_seconds,timestamp_raw,lat,lng,group,use,CounterClockwiseSequence,CounterClockwiseSegment
897.6,1698862638.38195,1.69886263838195E+018,40.485636,-80.332658,Path 4 – Northwest Corner,,7,
897.8,1698862638.58294,1.69886263858294E+018,40.485636,-80.332658,Path 4 – Northwest Corner,,8,
898,1698862638.78234,1.69886263878234E+018,40.485636,-80.332659,Path 4 – Northwest Corner,,9,
898.2,1698862638.9828,1.6988626389828E+018,40.485636,-80.332660,Path 4 – Northwest Corner,,10,
898.4,1698862639.18195,1.69886263918195E+018,40.485637,-80.332661,Path 4 – Northwest Corner,,11,
898.6,1698862639.38202,1.69886263938202E+018,40.485637,-80.332662,Path 4 – Northwest Corner,,12,
898.8,1698862639.58208,1.69886263958208E+018,40.485638,-80.332663,Path 4 – Northwest Corner,,13,
899,1698862639.78504,1.69886263978504E+018,40.485638,-80.332665,Path 4 – Northwest Corner,,14,
899.2,1698862639.98232,1.69886263998232E+018,40.485639,-80.332666,Path 4 – Northwest Corner,,15,
899.4,1698862640.18201,1.69886264018201E+018,40.485639,-80.332667,Path 4 – Northwest Corner,,16,
899.6,1698862640.38243,1.69886264038243E+018,40.485640,-80.332669,Path 4 – Northwest Corner,,17,
899.8,1698862640.58302,1.69886264058301E+018,40.485640,-80.332670,Path 4 – Northwest Corner,,18,
900,1698862640.78206,1.69886264078206E+018,40.485641,-80.332670,Path 4 – Northwest Corner,,19,
900.2,1698862640.98237,1.69886264098237E+018,40.485642,-80.332671,Path 4 – Northwest Corner,,20,
900.4,1698862641.18263,1.69886264118263E+018,40.485642,-80.332672,Path 4 – Northwest Corner,,21,
900.6,1698862641.38241,1.69886264138241E+018,40.485643,-80.332672,Path 4 – Northwest Corner,,22,
900.8,1698862641.58228,1.69886264158228E+018,40.485644,-80.332673,Path 4 – Northwest Corner,,23,
901,1698862641.7824,1.6988626417824E+018,40.485644,-80.332673,Path 4 – Northwest Corner,,24,
901.2,1698862641.98173,1.69886264198173E+018,40.485645,-80.332673,Path 4 – Northwest Corner,,25,
901.4,1698862642.18206,1.69886264218206E+018,40.485646,-80.332674,Path 4 – Northwest Corner,,26,
901.6,1698862642.38302,1.69886264238302E+018,40.485647,-80.332674,Path 4 – Northwest Corner,,27,
901.8,1698862642.58207,1.69886264258207E+018,40.485648,-80.332675,Path 4 – Northwest Corner,,28,
902,1698862642.78228,1.69886264278228E+018,40.485648,-80.332675,Path 4 – Northwest Corner,,29,
902.2,1698862642.98189,1.69886264298189E+018,40.485649,-80.332676,Path 4 – Northwest Corner,,30,
902.4,1698862643.18151,1.69886264318151E+018,40.485650,-80.332677,Path 4 – Northwest Corner,,31,
902.61,1698862643.38633,1.69886264338633E+018,40.485651,-80.332678,Path 4 – Northwest Corner,,32,
902.8,1698862643.58244,1.69886264358244E+018,40.485652,-80.332679,Path 4 – Northwest Corner,,33,
903,1698862643.78284,1.69886264378284E+018,40.485653,-80.332679,Path 4 – Northwest Corner,,34,
903.2,1698862643.98193,1.69886264398193E+018,40.485654,-80.332680,Path 4 – Northwest Corner,,35,
903.4,1698862644.18393,1.69886264418393E+018,40.485655,-80.332680,Path 4 – Northwest Corner,,36,
903.6,1698862644.3825,1.6988626443825E+018,40.485655,-80.332680,Path 4 – Northwest Corner,,37,
903.8,1698862644.58315,1.69886264458315E+018,40.485655,-80.332680,Path 4 – Northwest Corner,,38,
904,1698862644.78205,1.69886264478205E+018,40.485655,-80.332680,Path 4 – Northwest Corner,,39,
904.2,1698862644.98213,1.69886264498213E+018,40.485655,-80.332680,Path 4 – Northwest Corner,,40,
904.4,1698862645.1827,1.6988626451827E+018,40.485656,-80.332680,Path 4 – Northwest Corner,,41,
904.6,1698862645.38229,1.69886264538229E+018,40.485656,-80.332680,Path 4 – Northwest Corner,,42,
904.8,1698862645.58108,1.69886264558108E+018,40.485656,-80.332681,Path 4 – Northwest Corner,,43,
905,1698862645.78186,1.69886264578186E+018,40.485657,-80.332681,Path 4 – Northwest Corner,,44,
905.2,1698862645.98154,1.69886264598154E+018,40.485658,-80.332682,Path 4 – Northwest Corner,,45,
905.4,1698862646.1808,1.6988626461808E+018,40.485659,-80.332682,Path 4 – Northwest Corner,,46,
905.6,1698862646.3815,1.6988626463815E+018,40.485659,-80.332683,Path 4 – Northwest Corner,,47,
905.8,1698862646.58123,1.69886264658123E+018,40.485660,-80.332683,Path 4 – Northwest Corner,,48,
906,1698862646.78288,1.69886264678288E+018,40.485661,-80.332684,Path 4 – Northwest Corner,,49,
906.2,1698862646.9822,1.6988626469822E+018,40.485662,-80.332684,Path 4 – Northwest Corner,,50,
906.4,1698862647.18293,1.69886264718293E+018,40.485663,-80.332685,Path 4 – Northwest Corner,,51,
906.6,1698862647.38248,1.69886264738248E+018,40.485664,-80.332685,Path 4 – Northwest Corner,,52,
906.8,1698862647.58387,1.69886264758387E+018,40.485665,-80.332685,Path 4 – Northwest Corner,,53,
907,1698862647.78214,1.69886264778214E+018,40.485666,-80.332685,Path 4 – Northwest Corner,,54,
907.2,1698862647.98215,1.69886264798215E+018,40.485666,-80.332685,Path 4 – Northwest Corner,,55,
907.4,1698862648.18203,1.69886264818203E+018,40.485667,-80.332685,Path 4 – Northwest Corner,,56,
907.6,1698862648.38163,1.69886264838163E+018,40.485668,-80.332685,Path 4 – Northwest Corner,,57,
907.8,1698862648.58136,1.69886264858136E+018,40.485669,-80.332686,Path 4 – Northwest Corner,,58,
908,1698862648.78166,1.69886264878166E+018,40.485670,-80.332686,Path 4 – Northwest Corner,,59,
908.2,1698862648.98129,1.69886264898129E+018,40.485671,-80.332686,Path 4 – Northwest Corner,,60,
908.4,1698862649.18253,1.69886264918253E+018,40.485672,-80.332687,Path 4 – Northwest Corner,,61,
908.6,1698862649.38168,1.69886264938168E+018,40.485673,-80.332687,Path 4 – Northwest Corner,,62,
908.8,1698862649.58236,1.69886264958236E+018,40.485673,-80.332687,Path 4 – Northwest Corner,,63,
909,1698862649.78285,1.69886264978285E+018,40.485674,-80.332688,Path 4 – Northwest Corner,,64,
909.2,1698862649.98349,1.69886264998349E+018,40.485675,-80.332688,Path 4 – Northwest Corner,,65,
909.4,1698862650.18246,1.69886265018246E+018,40.485676,-80.332688,Path 4 – Northwest Corner,,66,
909.6,1698862650.38323,1.69886265038323E+018,40.485677,-80.332689,Path 4 – Northwest Corner,,67,
909.8,1698862650.58364,1.69886265058364E+018,40.485678,-80.332689,Path 4 – Northwest Corner,,68,
910,1698862650.78238,1.69886265078238E+018,40.485679,-80.332689,Path 4 – Northwest Corner,,69,
910.2,1698862650.98179,1.69886265098179E+018,40.485680,-80.332689,Path 4 – Northwest Corner,,70,
910.4,1698862651.18255,1.69886265118255E+018,40.485680,-80.332689,Path 4 – Northwest Corner,,71,
910.6,1698862651.38218,1.69886265138218E+018,40.485681,-80.332689,Path 4 – Northwest Corner,,72,
910.8,1698862651.58212,1.69886265158212E+018,40.485682,-80.332690,Path 4 – Northwest Corner,,73,
911.01,1698862651.78576,1.69886265178576E+018,40.485683,-80.332690,Path 4 – Northwest Corner,,74,
911.2,1698862651.98363,1.69886265198363E+018,40.485684,-80.332690,Path 4 – Northwest Corner,,75,
911.4,1698862652.18213,1.69886265218213E+018,40.485685,-80.332690,Path 4 – Northwest Corner,,76,
911.6,1698862652.38231,1.69886265238231E+018,40.485686,-80.332691,Path 4 – Northwest Corner,,77,
911.8,1698862652.5821,1.6988626525821E+018,40.485687,-80.332691,Path 4 – Northwest Corner,,78,
912,1698862652.78212,1.69886265278212E+018,40.485688,-80.332691,Path 4 – Northwest Corner,,79,
912.2,1698862652.98204,1.69886265298204E+018,40.485688,-80.332692,Path 4 – Northwest Corner,,80,
912.4,1698862653.18189,1.69886265318189E+018,40.485689,-80.332692,Path 4 – Northwest Corner,,81,
912.6,1698862653.38183,1.69886265338183E+018,40.485690,-80.332693,Path 4 – Northwest Corner,,82,
912.8,1698862653.58279,1.69886265358279E+018,40.485691,-80.332693,Path 4 – Northwest Corner,,83,
913,1698862653.78252,1.69886265378252E+018,40.485692,-80.332693,Path 4 – Northwest Corner,,84,
913.2,1698862653.9833,1.6988626539833E+018,40.485693,-80.332694,Path 4 – Northwest Corner,,85,
913.4,1698862654.18176,1.69886265418176E+018,40.485694,-80.332694,Path 4 – Northwest Corner,,86,
913.6,1698862654.38342,1.69886265438342E+018,40.485695,-80.332695,Path 4 – Northwest Corner,,87,
913.8,1698862654.58378,1.69886265458378E+018,40.485695,-80.332695,Path 4 – Northwest Corner,,88,
914,1698862654.78223,1.69886265478223E+018,40.485696,-80.332696,Path 4 – Northwest Corner,,89,
914.2,1698862654.98342,1.69886265498342E+018,40.485697,-80.332696,Path 4 – Northwest Corner,,90,
914.4,1698862655.18153,1.69886265518153E+018,40.485698,-80.332697,Path 4 – Northwest Corner,,91,
914.6,1698862655.38153,1.69886265538153E+018,40.485699,-80.332697,Path 4 – Northwest Corner,,92,
914.8,1698862655.58315,1.69886265558315E+018,40.485700,-80.332698,Path 4 – Northwest Corner,,93,
915,1698862655.78165,1.69886265578165E+018,40.485701,-80.332698,Path 4 – Northwest Corner,,94,
915.2,1698862655.98394,1.69886265598394E+018,40.485701,-80.332699,Path 4 – Northwest Corner,,95,
915.4,1698862656.18132,1.69886265618132E+018,40.485702,-80.332699,Path 4 – Northwest Corner,,96,
