x1,y1,x2,y2
-4.011,-5.805,-10.846,14.045
-2.86,-6.678,-10.47,15.425
-1.559,-7.985,-10.556,18.145
0.136,-10.436,-11.315,22.819
2.141,-13.787,-10.87,23.998
3.503,-15.271,-10.215,24.569
4.381,-15.351,-9.535,25.064
5.163,-15.151,-8.86,25.575
5.96,-14.994,-8.241,26.249
6.658,-14.55,-7.564,26.755
7.346,-14.075,-6.939,27.411
8.061,-13.681,-6.42,28.375
8.787,-13.318,-5.961,29.512
9.568,-13.116,-5.458,30.525
10.376,-12.991,-4.948,31.513
11.143,-12.747,-4.416,32.44
11.993,-12.744,-3.872,33.334
12.786,-12.574,-3.308,34.165
13.553,-12.332,-2.712,34.906
14.325,-12.103,-2.121,35.661
15.096,-11.869,-1.514,36.37
15.869,-11.644,-0.886,37.018
16.633,-11.391,-0.27,37.699
17.399,-11.144,0.385,38.269
18.155,-10.867,1.043,38.828
18.907,-10.581,1.714,39.353
19.657,-10.286,2.383,39.881
20.431,-10.063,3.068,40.361
21.174,-9.749,3.764,40.814
21.927,-9.464,4.469,41.237
22.685,-9.194,5.186,41.626
23.413,-8.839,5.908,42.001
24.139,-8.476,6.657,42.295
24.921,-8.275,7.406,42.593
25.668,-7.974,8.162,42.867
26.401,-7.631,8.911,43.165
27.121,-7.251,9.675,43.416
27.829,-6.835,10.453,43.63
28.573,-6.526,11.25,43.784
29.314,-6.206,12.104,43.777
30.058,-5.896,12.893,43.955
30.826,-5.654,13.668,44.177
31.585,-5.387,14.485,44.277
32.384,-5.236,15.276,44.449
33.144,-4.972,16.026,44.744
33.896,-4.684,16.772,45.048
34.648,-4.397,17.518,45.352
35.389,-4.077,18.248,45.705
36.126,-3.746,18.968,46.084
36.861,-3.411,19.697,46.44
37.651,-3.233,20.511,46.546
38.435,-3.037,21.292,46.75
39.181,-2.732,22.047,47.027
39.902,-2.355,22.921,46.96
40.077,-0.391,23.989,46.331
40.218,1.67,25.389,44.736
40.604,3.02,26.581,43.746
41.115,4.006,27.559,43.376
41.71,4.752,28.605,42.812
